session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,37,63.1727906006257,13.691364407551502,-102.35384862837137
sample_1,7,Awake,38,63.21037419515273,-3.404203881914027,-116.92679819441776
sample_1,7,Awake,39,65.23733236382641,-20.152197312844308,-136.41611688993743
sample_1,7,Awake,40,66.07507294702407,-36.51202250526082,-160.09514870659228
sample_1,7,Awake,41,63.52183189752244,-52.365743606609406,-181.74135848976243
sample_1,7,Awake,42,56.52230253444102,-66.99783178292844,-187.755044819254
sample_1,7,Awake,43,45.1501355810651,-79.67813655595913,-161.85642837300898
sample_1,7,Awake,44,30.37101150947177,-90.81567601839818,-97.633260898706
sample_1,7,Awake,45,13.691364407551502,-102.35384862837137,-7.945976025874554
sample_1,7,Awake,46,-3.404203881914027,-116.92679819441776,81.48167579661428
sample_1,7,Awake,47,-20.152197312844308,-136.41611688993743,148.28952059288827
sample_1,7,Awake,48,-36.51202250526082,-160.09514870659228,183.33268834540263
sample_1,7,Awake,49,-52.365743606609406,-181.74135848976243,190.3109934546888
sample_1,7,Awake,50,-66.99783178292844,-187.755044819254,179.94880928488976
sample_1,7,Awake,51,-79.67813655595913,-161.85642837300898,162.57123215950227
sample_1,7,Awake,52,-90.81567601839818,-97.633260898706,143.77356209450485
sample_1,7,Awake,53,-102.35384862837137,-7.945976025874554,125.39306452620934
sample_1,7,Awake,54,-116.92679819441776,81.48167579661428,108.555134226027
sample_1,7,Awake,55,-136.41611688993743,148.28952059288827,95.35691574264206
sample_1,7,Awake,56,-160.09514870659228,183.33268834540263,88.1523678152031
sample_1,7,Awake,57,-181.74135848976243,190.3109934546888,87.41347010820137
sample_1,7,Awake,58,-187.755044819254,179.94880928488976,90.64604335266051
sample_1,7,Awake,59,-161.85642837300898,162.57123215950227,93.38976822049646
sample_1,7,Awake,60,-97.633260898706,143.77356209450485,91.27680102173422
sample_1,7,Awake,61,-7.945976025874554,125.39306452620934,81.89782117222566
sample_1,7,Awake,62,81.48167579661428,108.555134226027,65.58930579345967
sample_1,7,Awake,63,148.28952059288827,95.35691574264206,44.94405597401728
sample_1,7,Awake,64,183.33268834540263,88.1523678152031,23.18841538925339
sample_1,7,Awake,65,190.3109934546888,87.41347010820137,2.056494596150097
sample_1,7,Awake,66,179.94880928488976,90.64604335266051,-18.773966449108265
sample_1,7,Awake,67,162.57123215950227,93.38976822049646,-40.090342436694726
sample_1,7,Awake,68,143.77356209450485,91.27680102173422,-62.29061890035504
sample_1,7,Awake,69,125.39306452620934,81.89782117222566,-85.91672349609603
sample_1,7,Awake,70,108.555134226027,65.58930579345967,-110.98602644331211
sample_1,7,Awake,71,95.35691574264206,44.94405597401728,-135.88234156969324
sample_1,7,Awake,72,88.1523678152031,23.18841538925339,-158.45339088349593
sample_1,7,Awake,73,87.41347010820137,2.056494596150097,-178.50179443780274
sample_1,7,Awake,74,90.64604335266051,-18.773966449108265,-198.8359887842803
sample_1,7,Awake,75,93.38976822049646,-40.090342436694726,-223.38899839797503
sample_1,7,Awake,76,91.27680102173422,-62.29061890035504,-252.74085677210056
sample_1,7,Awake,77,81.89782117222566,-85.91672349609603,-279.0677700395057
sample_1,7,Awake,78,65.58930579345967,-110.98602644331211,-285.30566320090884
sample_1,7,Awake,79,44.94405597401728,-135.88234156969324,-253.63450331156668
sample_1,7,Awake,80,23.18841538925339,-158.45339088349593,-180.21086699626824
sample_1,7,Awake,81,2.056494596150097,-178.50179443780274,-81.80585940328487
sample_1,7,Awake,82,-18.773966449108265,-198.8359887842803,14.649999933673598
sample_1,7,Awake,83,-40.090342436694726,-223.38899839797503,88.53003956475331
sample_1,7,Awake,84,-62.29061890035504,-252.74085677210056,132.85852468845735
sample_1,7,Awake,85,-85.91672349609603,-279.0677700395057,151.70643190278648
sample_1,7,Awake,86,-110.98602644331211,-285.30566320090884,154.3858681377825
sample_1,7,Awake,87,-135.88234156969324,-253.63450331156668,149.76773340183286
sample_1,7,Awake,88,-158.45339088349593,-180.21086699626824,141.896397826892
sample_1,7,Awake,89,-178.50179443780274,-81.80585940328487,130.08873554746782
sample_1,7,Awake,90,-198.8359887842803,14.649999933673598,113.69540335244572
sample_1,7,Awake,91,-223.38899839797503,88.53003956475331,95.6720051322635
sample_1,7,Awake,92,-252.74085677210056,132.85852468845735,81.17848314205098
sample_1,7,Awake,93,-279.0677700395057,151.70643190278648,73.53131804637826
sample_1,7,Awake,94,-285.30566320090884,154.3858681377825,71.83286979226796
sample_1,7,Awake,95,-253.63450331156668,149.76773340183286,72.1381697458182
sample_1,7,Awake,96,-180.21086699626824,141.896397826892,70.25876621825245
sample_1,7,Awake,97,-81.80585940328487,130.08873554746782,63.74621793960765
sample_1,7,Awake,98,14.649999933673598,113.69540335244572,52.22733520265812
sample_1,7,Awake,99,88.53003956475331,95.6720051322635,36.6078685419564
sample_1,7,Awake,100,132.85852468845735,81.17848314205098,18.2689108032196
sample_1,7,Awake,101,151.70643190278648,73.53131804637826,-1.366582205642958
sample_1,7,Awake,102,154.3858681377825,71.83286979226796,-20.847726003443647
sample_1,7,Awake,103,149.76773340183286,72.1381697458182,-38.91605074247114
sample_1,7,Awake,104,141.896397826892,70.25876621825245,-55.23974097252691
